Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-mii-kerndatensatzmodul-kardiologie.json	34821	-	0	0	0	0	0	0	13	46	0	0	0	0	0	0	0	1	0	0	0	227	359	0	0	0	0	6	0	1
fsh-generated/resources/CodeSystem-mii-cs-kardio-acribis-questionnaire-answer.json	1686	3	0	0	1	0	1	0	0	6	0	0	1	0	0	0	0	0	0	0	0	30	83	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-kardio-atherosklerotisches-ereignis.json	1002	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	19	78	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-kardio-lebensmittelpunkt.json	1047	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	20	63	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-mii-cs-kardio-modifizierte-rankin-skala.json	2586	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	21	68	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-kardio-supplement-snomedct.json	1704	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	19	57	0	0	0	0	0	0	0
fsh-generated/resources/Condition-mii-exa-kardio-diagnose-myokardinfarkt.json	2524	2	0	0	0	0	0	0	0	683	0	0	0	0	0	0	0	0	0	0	0	19	34	0	0	0	0	0	0	0
fsh-generated/resources/Condition-mii-exa-kardio-embolischer-gefaessverschluss.json	2411	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	20	8	0	0	0	0	0	0	0
fsh-generated/resources/Condition-mii-exa-kardio-hoehergradiges-vitium.json	2940	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	24	8	0	0	0	0	0	0	0
fsh-generated/resources/Device-mii-exa-kardio-device-icd.json	607	1	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	15	8	0	0	0	0	0	0	0
fsh-generated/resources/Device-mii-exa-kardio-ekg-geraet-mortara.json	877	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	17	18	0	0	0	0	0	0	0
fsh-generated/resources/Device-mii-exa-kardio-ekg-kanal-i.json	1112	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	18	9	0	0	0	0	0	0	0
fsh-generated/resources/Device-mii-exa-kardio-ekg-kanal-ii.json	1114	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	17	8	0	0	0	0	0	0	0
fsh-generated/resources/Device-mii-exa-kardio-ekg-kanal-iii.json	1116	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	13	8	0	0	0	0	0	0	1
fsh-generated/resources/DeviceDefinition-mii-exa-kardio-ekg-geraetedefinition-mortara.json	1128	1	0	0	0	0	0	0	0	1316	0	0	0	0	0	0	0	0	0	0	0	15	11	0	0	0	0	0	0	0
